NAICS	PARTNER	STATE	Y_2010	Y_2011	Y_2012	Y_2013	Y_2014	Y_2015
111--AGRICULTURAL PRODUCTS	Denmark	Iowa	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Denmark	Kansas	0	0	18075	0	0	0
111--AGRICULTURAL PRODUCTS	Denmark	Louisiana	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Denmark	Maine	0	10708	5821	5192	7436	27791
111--AGRICULTURAL PRODUCTS	Denmark	Maryland	0	0	8920	0	0	0
111--AGRICULTURAL PRODUCTS	Denmark	Massachusetts	0	3190	10185	0	0	0
111--AGRICULTURAL PRODUCTS	Denmark	Michigan	14595	0	2700	2920	31898	58936
111--AGRICULTURAL PRODUCTS	Denmark	Minnesota	1187394	1702775	209118	471247	177417	432926
111--AGRICULTURAL PRODUCTS	Denmark	Mississippi	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Denmark	Missouri	34884	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Denmark	Montana	0	0	0	0	159671	0
111--AGRICULTURAL PRODUCTS	Denmark	Nebraska	2940	63794	8741	0	0	2940
111--AGRICULTURAL PRODUCTS	Denmark	New Hampshire	575038	835058	504513	427098	410289	667751
111--AGRICULTURAL PRODUCTS	Denmark	New Jersey	86070	72444	63508	60088	37633	6808
111--AGRICULTURAL PRODUCTS	Denmark	New Mexico	6095	5420	0	0	0	0
111--AGRICULTURAL PRODUCTS	Denmark	New York	9390	37714	106136	79673	25913	328110
111--AGRICULTURAL PRODUCTS	Denmark	North Carolina	6915489	883824	1742378	1786734	2086888	1591864
111--AGRICULTURAL PRODUCTS	Denmark	North Dakota	806348	0	0	13971	274379	90506
111--AGRICULTURAL PRODUCTS	Denmark	Ohio	10482	14748	14199	8688	21425	17109
111--AGRICULTURAL PRODUCTS	Denmark	Oregon	549842	1431636	622331	1257882	528982	1370773
111--AGRICULTURAL PRODUCTS	Denmark	Pennsylvania	178353	618130	440392	589827	1129853	789018
111--AGRICULTURAL PRODUCTS	Denmark	Rhode Island	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Denmark	South Carolina	0	317804	30000	0	0	0
111--AGRICULTURAL PRODUCTS	Denmark	South Dakota	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Denmark	Tennessee	0	252000	89100	0	0	0
111--AGRICULTURAL PRODUCTS	Denmark	Texas	169887	736578	296768	136100	18885	442534
111--AGRICULTURAL PRODUCTS	Denmark	Unknown	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Denmark	Utah	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Denmark	Vermont	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Denmark	Virginia	2756772	490644	348480	129439	438378	850941
111--AGRICULTURAL PRODUCTS	Denmark	Washington	277938	1715703	880458	192354	399494	356412
111--AGRICULTURAL PRODUCTS	Denmark	West Virginia	12160	0	0	0	0	14500
111--AGRICULTURAL PRODUCTS	Denmark	Wisconsin	104483	164554	56189	110678	150440	116800
111--AGRICULTURAL PRODUCTS	Estonia	Alabama	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Estonia	Arizona	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Estonia	California	4814340	3367740	1826960	2620190	6842056	8318604
111--AGRICULTURAL PRODUCTS	Estonia	Georgia	0	0	415000	3146095	3269315	120284
111--AGRICULTURAL PRODUCTS	Estonia	Idaho	0	114851	134994	196781	98304	100852
111--AGRICULTURAL PRODUCTS	Estonia	Illinois	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Estonia	Iowa	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Estonia	Louisiana	60000	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Estonia	Minnesota	104266	85465	53355	0	0	0
111--AGRICULTURAL PRODUCTS	Estonia	Mississippi	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Estonia	Montana	0	0	0	0	47740	0
111--AGRICULTURAL PRODUCTS	Estonia	Nebraska	29223	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Estonia	Nevada	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Estonia	New Hampshire	0	0	0	0	0	10969
111--AGRICULTURAL PRODUCTS	Estonia	New Jersey	0	0	86000	604460	491811	0
111--AGRICULTURAL PRODUCTS	Estonia	New Mexico	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Estonia	New York	0	0	0	44343	1465587	0
111--AGRICULTURAL PRODUCTS	Estonia	North Carolina	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Estonia	North Dakota	15331	10054	0	4710	9258	0
111--AGRICULTURAL PRODUCTS	Estonia	Ohio	0	8532	0	0	0	0
111--AGRICULTURAL PRODUCTS	Estonia	Oregon	0	0	0	0	0	6516
111--AGRICULTURAL PRODUCTS	Estonia	Pennsylvania	0	29250	0	0	13277	0
111--AGRICULTURAL PRODUCTS	Estonia	Tennessee	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Estonia	Texas	60000	640204	450620	394457	0	3474
111--AGRICULTURAL PRODUCTS	Estonia	Virgin Islands	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Estonia	Virginia	0	0	469000	0	0	0
111--AGRICULTURAL PRODUCTS	Estonia	Washington	0	7739	0	0	12840	0
111--AGRICULTURAL PRODUCTS	Estonia	Wisconsin	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Finland	Arizona	88875	0	0	45466	25036	22577
111--AGRICULTURAL PRODUCTS	Finland	California	6503939	4935866	4052692	2965270	6245066	2176853
111--AGRICULTURAL PRODUCTS	Finland	Connecticut	2772	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Finland	Florida	168000	252050	218400	117180	300440	235097
111--AGRICULTURAL PRODUCTS	Finland	Georgia	0	10500	0	3611	0	37916
111--AGRICULTURAL PRODUCTS	Finland	Idaho	68938	0	0	0	0	61740
111--AGRICULTURAL PRODUCTS	Finland	Illinois	55688	60139	95149	66974	181098	316277
111--AGRICULTURAL PRODUCTS	Finland	Indiana	53834	74475	0	0	0	0
111--AGRICULTURAL PRODUCTS	Finland	Iowa	0	0	0	0	0	36000
111--AGRICULTURAL PRODUCTS	Finland	Kentucky	13248	52992	0	0	0	0
111--AGRICULTURAL PRODUCTS	Finland	Maine	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Finland	Maryland	0	5790	0	0	0	0
111--AGRICULTURAL PRODUCTS	Finland	Massachusetts	0	0	0	0	0	0
111--AGRICULTURAL PRODUCTS	Finland	Michigan	0	0	0	136000	0	0
111--AGRICULTURAL PRODUCTS	Finland	Minnesota	1661467	1479976	12226	13965	10782	3528
